title,keyword,keyword_id,position,previous_position,last_seen,search_volume,cpc,traffic,traffic_percent,traffic_cost,traffic_cost_percent,competition,number_of_results,keyword_difficulty
PMP® Exam & Certification | Flat 40% Off - Enroll Now,PMP,6,1,1,2024-12-31,90500,3.76,4253,22.777420736932307,15991,24.663006261760078,0.6,166000000,78.0
PMP® Exam & Certification | Confidently Ace The PMP Exam,PMP,6,1,1,2025-01-01,90500,3.76,4253,22.777420736932307,15991,24.663006261760078,0.6,172000000,78.0
PMP® Training & Exam | Special Offer: Get $400 Off,PMP,6,1,2,2025-01-14,90500,3.82,1176,6.298200514138817,4492,6.928036028255036,0.65,154000000,77.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,Scrum Master,8,1,1,2025-01-10,18100,3.21,850,4.552270779777206,2728,4.207409235324964,0.64,32000000,70.0
PMP® Certification | Ace PMP Exam in 1st Attempt,PMP,6,3,3,2025-01-07,90500,3.82,814,4.359468723221937,3109,4.795027607267343,0.65,165000000,78.0
ITIL® 4 Certification Course | 100% Money Back Guarantee,ITIL,5,1,1,2025-01-26,14800,2.33,695,3.7221508140531276,1619,2.4969925043955703,0.49,13700000,55.0
PMP® Exam & Certification | Flat 40% Off - Enroll Now,PMP,6,4,4,2025-01-02,90500,3.76,633,3.390102827763496,2380,3.6706869428421607,0.6,176000000,82.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,Scrum Master,8,1,1,2025-01-17,9900,3.21,465,2.4903598971722363,1492,2.3011197137481108,0.64,44200000,50.0
Scrum Alliance CSM® Training | Flash Sale: Enroll @ $270,Scrum Master,8,1,1,2024-12-28,9900,4.52,465,2.4903598971722363,2101,3.2403837255930164,0.43,51800000,57.0
PMP® Certification Course | Ace PMP Exam in 1st Attempt,PMP,6,6,0,2025-01-26,90500,3.82,452,2.4207369323050556,1726,2.6620191862796507,0.65,155000000,70.0
Simplilearn PMP® Course | Special Offer: Get $400 Off,Simplilearn,9,1,1,2025-01-22,8100,2.31,380,2.035132819194516,877,1.3526018692741912,0.14,4130000,52.0
Simplilearn® Courses | Online Certification Courses,Simplilearn,9,1,1,2025-01-25,8100,2.31,380,2.035132819194516,877,1.3526018692741912,0.14,4880000,48.0
PMP® Certification Course,PMP,6,1,0,2025-01-26,6600,2.37,310,1.6602399314481577,734,1.1320521916160275,0.59,162000000,54.0
CSM Scrum Master Course Online - Limited-time Offer: $270 Only,Scrum Master,8,1,1,2025-01-07,5400,2.53,253,1.3549700085689802,640,0.9870754804281441,0.49,40200000,73.0
PMI Certified PMP® Training | Ace PMP Exam in 1st Attempt,PMP,6,1,1,2025-01-22,5400,3.35,253,1.3549700085689802,847,1.306332706129122,0.59,48200000,45.0
PMP® Certification | Special Offer: Get $400 Off,PMP,6,5,5,2024-12-31,49500,6.49,247,1.3228363324764352,1603,2.472315617384867,0.68,978000000,76.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,Scrum Master,8,2,2,2025-01-07,18100,3.21,235,1.2585689802913453,754,1.1628983003794071,0.64,16000000,70.0
Become a Certified ScrumMaster | Today's Offer: Up To 51% Off,Scrum Master,8,3,3,2025-01-04,18100,3.21,162,0.8676092544987147,520,0.8019988278478669,0.64,31900000,74.0
PMP® Certification | Confidently Ace The PMP Exam,PMP,6,4,4,2024-12-31,18100,3.76,126,0.6748071979434447,473,0.7295104722539252,0.6,931000000,82.0
Simplilearn® Courses | Online Certification Courses,Simplilearn,9,2,2,2025-01-12,8100,2.31,105,0.5623393316195373,242,0.37323791603689194,0.14,4490000,68.0
CAPM® Certification Training | Ace CAPM® Exam in 1st Attempt,CAPM,2,4,4,2025-01-25,14800,2.72,103,0.5516281062553555,280,0.431845522687313,0.63,5790000,58.0
ITIL Certification Course - 100% Exam Pass Guarantee,ITIL,5,4,4,2025-01-26,14800,2.33,103,0.5516281062553555,239,0.36861099972238504,0.49,13700000,55.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,Scrum Master,8,5,5,2024-12-29,18100,3.4,90,0.4820051413881748,306,0.47194546407970633,0.56,32700000,74.0
Simplilearn Post Graduate - Online Post Graduate Programs,Simplilearn,9,1,1,2025-01-21,1900,0.0,89,0.47664952870608396,0,0.0,0.0,68,30.0
PMP® Certification Course | Ace PMP Exam in 1st Attempt,PMP,6,2,2,2025-01-14,6600,2.37,85,0.4552270779777206,201,0.31000339307196395,0.59,166000000,55.0
SAFe® Agilist Certification | Special Offer: Get $250 Off,SAFe,7,2,2,2025-01-24,6600,3.77,85,0.4552270779777206,320,0.49353774021407204,0.41,1400000000,48.0
PMP® Certification | Ace PMP Exam in 1st Attempt,PMP,6,1,1,2025-01-19,1600,3.82,75,0.40167095115681234,286,0.4410993553163269,0.65,35300000,73.0
